epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,12967.9,1.39138,1.10288,0.01308,0.8665,0.85368,0.91774,0.58252,1.20786,0.65448,0.01246,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,13276,1.39401,1.10007,0.01298,0.86749,0.84796,0.91508,0.58995,1.18473,0.66213,0.01217,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,13583.6,1.39609,1.09822,0.01294,0.86811,0.85284,0.92031,0.59909,1.1668,0.66136,0.01188,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,13891,1.39335,1.0991,0.01291,0.86497,0.85915,0.92255,0.60384,1.16019,0.65993,0.01176,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,14198.5,1.38056,1.08892,0.01286,0.87028,0.8667,0.92809,0.61514,1.13316,0.62966,0.01144,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,14506.7,1.3842,1.08193,0.01272,0.86212,0.86323,0.92253,0.60641,1.14857,0.65227,0.01162,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,14814.6,1.37484,1.06976,0.01272,0.85956,0.86981,0.92601,0.6156,1.13421,0.64477,0.01143,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,15122.8,1.38388,1.07666,0.0127,0.8616,0.86373,0.92529,0.61443,1.14016,0.65295,0.0115,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,15430.1,1.3695,1.05763,0.01267,0.86475,0.86703,0.9275,0.61694,1.13715,0.63998,0.01149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,15737.6,1.36354,1.06078,0.01256,0.86717,0.86691,0.92835,0.61943,1.12804,0.63897,0.01136,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,16046,1.38176,1.05969,0.01247,0.87107,0.86846,0.92935,0.61835,1.12909,0.63421,0.01136,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,16353.5,1.36851,1.04877,0.01251,0.86854,0.86972,0.92864,0.61649,1.13451,0.6355,0.01142,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,16660.2,1.3582,1.04288,0.01253,0.87139,0.87718,0.93256,0.62204,1.12788,0.6197,0.01135,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,16968.2,1.34484,1.04414,0.01261,0.87436,0.8763,0.93342,0.6269,1.11618,0.61542,0.0112,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,17275.4,1.33744,1.03856,0.01252,0.87731,0.87796,0.93548,0.62921,1.11165,0.60716,0.01114,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,17582.3,1.35127,1.03179,0.01245,0.877,0.87732,0.93495,0.62963,1.11212,0.60724,0.01115,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,17890,1.34224,1.01767,0.01231,0.87804,0.87852,0.93626,0.63251,1.10564,0.59942,0.01107,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,18198,1.33125,1.01046,0.01222,0.87867,0.87741,0.9362,0.6332,1.10249,0.60292,0.011,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,18505.8,1.34041,1.00964,0.01211,0.87632,0.88037,0.93652,0.63419,1.10223,0.60492,0.01096,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,18813.3,1.33785,1.00541,0.01213,0.87907,0.87796,0.93703,0.63305,1.10572,0.6019,0.01101,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,19120.4,1.33337,0.99793,0.01199,0.87825,0.88007,0.93734,0.63225,1.10785,0.60073,0.01102,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,19427.5,1.31906,0.99671,0.01215,0.87961,0.87996,0.93772,0.63366,1.10481,0.60006,0.01099,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,19735.4,1.32176,0.98926,0.01202,0.88155,0.87993,0.93844,0.63586,1.10004,0.59456,0.01092,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,20043.5,1.31748,0.98396,0.01181,0.88288,0.87924,0.93901,0.63711,1.09684,0.59204,0.01089,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,20350.2,1.3217,0.97477,0.01177,0.88337,0.88222,0.94021,0.63984,1.09063,0.58668,0.01082,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,20656,1.31277,0.97146,0.01183,0.88542,0.88232,0.94053,0.64128,1.08745,0.58461,0.01077,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,20962.6,1.3042,0.96598,0.01169,0.88804,0.88069,0.94094,0.64259,1.08441,0.58193,0.01074,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,21268.5,1.30093,0.96033,0.01171,0.88701,0.88224,0.94135,0.64375,1.08306,0.58007,0.01072,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,21575.5,1.30703,0.9494,0.01152,0.88759,0.88431,0.94229,0.64524,1.08023,0.57659,0.01069,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,21882.4,1.2949,0.94515,0.01151,0.88883,0.88512,0.94269,0.6462,1.07847,0.57425,0.01067,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,22188.5,1.27984,0.93754,0.01156,0.89098,0.88316,0.94269,0.64681,1.07626,0.57238,0.01065,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,22495.5,1.28515,0.93824,0.01146,0.88963,0.88568,0.9429,0.6473,1.07489,0.57223,0.01064,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,22802,1.28217,0.93427,0.01141,0.89192,0.88498,0.94346,0.64895,1.07087,0.57054,0.01058,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,23108.5,1.27489,0.923,0.01135,0.89057,0.88678,0.94369,0.65011,1.06797,0.56917,0.01055,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,23414.8,1.27298,0.9148,0.01124,0.89285,0.88613,0.94407,0.65098,1.06646,0.56756,0.01053,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,23721.2,1.2647,0.91515,0.01123,0.8924,0.88653,0.94413,0.65197,1.06464,0.56624,0.01052,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,24027.2,1.264,0.90557,0.0111,0.8936,0.88664,0.94447,0.6532,1.06218,0.56479,0.01048,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,24333.2,1.25235,0.89705,0.01101,0.89308,0.88692,0.94457,0.6545,1.0585,0.56327,0.01043,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,24639.3,1.24527,0.89223,0.01109,0.89375,0.88749,0.94483,0.65527,1.05618,0.56176,0.01039,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,24945.3,1.24381,0.87871,0.01091,0.89331,0.88795,0.94516,0.65652,1.05306,0.56061,0.01035,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,25251.8,1.23288,0.87759,0.0109,0.89432,0.88844,0.94553,0.65776,1.05036,0.55822,0.01032,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,25558.9,1.21703,0.87087,0.01099,0.8939,0.88959,0.94573,0.65869,1.04885,0.55669,0.0103,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,25865.4,1.22404,0.85714,0.01073,0.89472,0.88957,0.94602,0.65999,1.04596,0.55534,0.01027,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,26171.6,1.23066,0.85919,0.01067,0.89501,0.88976,0.94625,0.66103,1.04316,0.55319,0.01023,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,26477.9,1.22209,0.84911,0.01053,0.89725,0.88985,0.94665,0.66231,1.04029,0.55077,0.0102,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,26784,1.20654,0.84722,0.01059,0.89801,0.88982,0.94675,0.66325,1.0383,0.54839,0.01018,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,27090.2,1.20576,0.83794,0.01041,0.89865,0.88946,0.94681,0.66402,1.03631,0.54798,0.01015,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,27396.6,1.20104,0.83377,0.0103,0.89971,0.88927,0.94696,0.6651,1.03388,0.54767,0.01012,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,27703,1.19084,0.82017,0.01028,0.89864,0.89016,0.94693,0.66616,1.03147,0.54616,0.01009,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,28006.5,0.93403,0.41387,0.00843,0.90072,0.88936,0.94735,0.66786,1.02797,0.54347,0.01005,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,28306.6,0.90001,0.38141,0.00791,0.89996,0.89149,0.94796,0.66976,1.02401,0.54086,0.01,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,28606.2,0.88807,0.3685,0.00762,0.90061,0.89138,0.94786,0.67126,1.0201,0.53945,0.00994,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,28905.5,0.87066,0.36192,0.00737,0.90117,0.89316,0.94815,0.67296,1.01634,0.53718,0.00989,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,29205.6,0.86594,0.3554,0.00716,0.90217,0.89318,0.94863,0.6745,1.01292,0.53458,0.00984,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,29505.6,0.86594,0.35466,0.00697,0.90449,0.89154,0.94881,0.67607,1.00962,0.53269,0.0098,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,29805.7,0.82203,0.33954,0.00681,0.90506,0.89235,0.94909,0.67742,1.00606,0.53041,0.00975,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,30105.6,0.82074,0.33019,0.00668,0.90314,0.89442,0.94937,0.67881,1.00261,0.52918,0.00971,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,30405.9,0.81861,0.32925,0.00649,0.90501,0.8948,0.94956,0.67994,0.99978,0.52804,0.00967,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,30706.6,0.78651,0.31265,0.0064,0.90596,0.89411,0.94978,0.68149,0.99662,0.52746,0.00962,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
